index,precision,recall,f1-score,support,classifier,category
advertisement,1.0,0.4,0.5714285714285715,5.0,MNB,classic target english
budget,1.0,0.125,0.2222222222222222,8.0,MNB,classic target english
email,0.75,1.0,0.8571428571428571,3.0,MNB,classic target english
file folder,0.0,0.0,0.0,1.0,MNB,classic target english
form,0.3333333333333333,0.2,0.25,5.0,MNB,classic target english
handwritten,0.5,0.2,0.2857142857142857,5.0,MNB,classic target english
id piece,0.8518518518518519,1.0,0.92,23.0,MNB,classic target english
invoice,0.6153846153846154,0.8888888888888888,0.7272727272727274,18.0,MNB,classic target english
letter,0.6666666666666666,0.2,0.3076923076923076,10.0,MNB,classic target english
memo,0.8,0.6666666666666666,0.7272727272727272,6.0,MNB,classic target english
news article,0.1428571428571428,0.25,0.1818181818181818,4.0,MNB,classic target english
passport,1.0,0.6153846153846154,0.761904761904762,13.0,MNB,classic target english
pay,0.7166666666666667,0.9555555555555556,0.8190476190476191,45.0,MNB,classic target english
postcard,0.6666666666666666,0.5333333333333333,0.5925925925925926,30.0,MNB,classic target english
presentation,0.0,0.0,0.0,6.0,MNB,classic target english
questionnaire,0.5,0.8333333333333334,0.625,6.0,MNB,classic target english
residence proof,1.0,0.5555555555555556,0.7142857142857143,9.0,MNB,classic target english
resume,0.6666666666666666,1.0,0.8,4.0,MNB,classic target english
scientific publication,0.6,0.75,0.6666666666666665,4.0,MNB,classic target english
scientific report,0.6,0.75,0.6666666666666665,4.0,MNB,classic target english
specification,0.5,1.0,0.6666666666666666,2.0,MNB,classic target english
accuracy,0.6777251184834123,0.6777251184834123,0.6777251184834123,0.6777251184834123,MNB,classic target english
macro avg,0.6147663623854099,0.5677960927960928,0.5411140270664079,211.0,MNB,classic target english
weighted avg,0.7006679821845699,0.6777251184834123,0.648761054637832,211.0,MNB,classic target english
advertisement,0.1304347826086956,0.6,0.2142857142857142,5.0,MNB,classic target english ros
budget,0.4444444444444444,0.5,0.4705882352941176,8.0,MNB,classic target english ros
email,0.75,1.0,0.8571428571428571,3.0,MNB,classic target english ros
file folder,0.0,0.0,0.0,1.0,MNB,classic target english ros
form,0.1428571428571428,0.2,0.1666666666666666,5.0,MNB,classic target english ros
handwritten,0.5,0.2,0.2857142857142857,5.0,MNB,classic target english ros
id piece,0.9583333333333334,1.0,0.9787234042553192,23.0,MNB,classic target english ros
invoice,0.6818181818181818,0.8333333333333334,0.7499999999999999,18.0,MNB,classic target english ros
letter,0.5,0.3,0.3749999999999999,10.0,MNB,classic target english ros
memo,0.5,0.3333333333333333,0.4,6.0,MNB,classic target english ros
news article,0.1428571428571428,0.25,0.1818181818181818,4.0,MNB,classic target english ros
passport,1.0,0.8461538461538461,0.9166666666666666,13.0,MNB,classic target english ros
pay,1.0,0.8666666666666667,0.9285714285714286,45.0,MNB,classic target english ros
postcard,0.7222222222222222,0.4333333333333333,0.5416666666666666,30.0,MNB,classic target english ros
presentation,0.0,0.0,0.0,6.0,MNB,classic target english ros
questionnaire,0.5555555555555556,0.8333333333333334,0.6666666666666667,6.0,MNB,classic target english ros
residence proof,0.8,0.4444444444444444,0.5714285714285714,9.0,MNB,classic target english ros
resume,0.8,1.0,0.888888888888889,4.0,MNB,classic target english ros
scientific publication,0.4285714285714285,0.75,0.5454545454545454,4.0,MNB,classic target english ros
scientific report,0.6666666666666666,0.5,0.5714285714285715,4.0,MNB,classic target english ros
specification,0.5,0.5,0.5,2.0,MNB,classic target english ros
accuracy,0.6540284360189573,0.6540284360189573,0.6540284360189573,0.6540284360189573,MNB,classic target english ros
macro avg,0.5344648048064198,0.5424094424094424,0.5147957786166261,211.0,MNB,classic target english ros
weighted avg,0.7172454505908038,0.6540284360189573,0.666709502040692,211.0,MNB,classic target english ros
advertisement,0.5,0.2,0.2857142857142857,5.0,MNB,classic target french
budget,0.75,0.3,0.4285714285714285,10.0,MNB,classic target french
email,0.4,0.4,0.4000000000000001,5.0,MNB,classic target french
form,0.0,0.0,0.0,2.0,MNB,classic target french
handwritten,1.0,0.2857142857142857,0.4444444444444445,7.0,MNB,classic target french
id piece,0.8846153846153846,1.0,0.9387755102040816,23.0,MNB,classic target french
invoice,0.7777777777777778,0.875,0.823529411764706,16.0,MNB,classic target french
letter,0.3636363636363636,0.5,0.4210526315789474,8.0,MNB,classic target french
memo,0.875,0.7777777777777778,0.823529411764706,9.0,MNB,classic target french
news article,0.1666666666666666,0.25,0.2,4.0,MNB,classic target french
passport,0.7272727272727273,0.6153846153846154,0.6666666666666667,13.0,MNB,classic target french
pay,0.6119402985074627,1.0,0.7592592592592593,41.0,MNB,classic target french
postcard,0.9166666666666666,0.3793103448275862,0.5365853658536586,29.0,MNB,classic target french
presentation,0.2,0.3333333333333333,0.25,3.0,MNB,classic target french
questionnaire,0.5,0.5,0.5,6.0,MNB,classic target french
residence proof,1.0,0.8888888888888888,0.9411764705882352,9.0,MNB,classic target french
resume,0.6666666666666666,0.8,0.7272727272727272,5.0,MNB,classic target french
scientific publication,0.25,0.1428571428571428,0.1818181818181818,7.0,MNB,classic target french
scientific report,0.4,0.3333333333333333,0.3636363636363636,6.0,MNB,classic target french
specification,0.5,0.75,0.6,4.0,MNB,classic target french
accuracy,0.6556603773584906,0.6556603773584906,0.6556603773584906,0.6556603773584906,MNB,classic target french
macro avg,0.5745121275904858,0.5165799861058482,0.5146016079568845,212.0,MNB,classic target french
weighted avg,0.6908118878602546,0.6556603773584906,0.6332200902787525,212.0,MNB,classic target french
advertisement,0.1290322580645161,0.8,0.2222222222222222,5.0,MNB,classic target french ros
budget,0.6666666666666666,0.4,0.5,10.0,MNB,classic target french ros
email,0.25,0.2,0.2222222222222222,5.0,MNB,classic target french ros
file folder,0.0,0.0,0.0,0.0,MNB,classic target french ros
form,0.0,0.0,0.0,2.0,MNB,classic target french ros
handwritten,1.0,0.2857142857142857,0.4444444444444445,7.0,MNB,classic target french ros
id piece,0.8846153846153846,1.0,0.9387755102040816,23.0,MNB,classic target french ros
invoice,0.875,0.875,0.875,16.0,MNB,classic target french ros
letter,0.4,0.5,0.4444444444444445,8.0,MNB,classic target french ros
memo,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0,MNB,classic target french ros
news article,0.1818181818181818,0.5,0.2666666666666666,4.0,MNB,classic target french ros
passport,0.8888888888888888,0.6153846153846154,0.7272727272727274,13.0,MNB,classic target french ros
pay,1.0,0.926829268292683,0.9620253164556964,41.0,MNB,classic target french ros
postcard,1.0,0.3103448275862069,0.4736842105263158,29.0,MNB,classic target french ros
presentation,0.25,0.3333333333333333,0.2857142857142857,3.0,MNB,classic target french ros
questionnaire,0.5,0.5,0.5,6.0,MNB,classic target french ros
residence proof,1.0,0.8888888888888888,0.9411764705882352,9.0,MNB,classic target french ros
resume,0.6666666666666666,0.8,0.7272727272727272,5.0,MNB,classic target french ros
scientific publication,0.6,0.4285714285714285,0.5,7.0,MNB,classic target french ros
scientific report,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,MNB,classic target french ros
specification,0.6,0.75,0.6666666666666665,4.0,MNB,classic target french ros
accuracy,0.660377358490566,0.660377358490566,0.660377358490566,0.660377358490566,MNB,classic target french ros
macro avg,0.5874824995792738,0.5345322742325026,0.5199909589010931,212.0,MNB,classic target french ros
weighted avg,0.7975195444306825,0.660377358490566,0.6838643673909222,212.0,MNB,classic target french ros
advertisement,0.6,0.75,0.6666666666666665,4.0,MNB,classic target
budget,0.2,0.2,0.2,5.0,MNB,classic target
email,0.625,0.8333333333333334,0.7142857142857143,6.0,MNB,classic target
form,1.0,0.8,0.888888888888889,5.0,MNB,classic target
handwritten,1.0,0.125,0.2222222222222222,8.0,MNB,classic target
id piece,0.8928571428571429,0.8620689655172413,0.8771929824561403,29.0,MNB,classic target
invoice,0.7222222222222222,0.8125,0.7647058823529411,16.0,MNB,classic target
letter,0.5714285714285714,0.4444444444444444,0.5,9.0,MNB,classic target
memo,0.375,0.375,0.375,8.0,MNB,classic target
news article,0.625,0.8333333333333334,0.7142857142857143,6.0,MNB,classic target
passport,0.7692307692307693,0.5555555555555556,0.6451612903225806,18.0,MNB,classic target
pay,0.7058823529411765,1.0,0.8275862068965517,48.0,MNB,classic target
postcard,0.8421052631578947,0.5714285714285714,0.6808510638297872,28.0,MNB,classic target
presentation,0.5,0.2,0.2857142857142857,5.0,MNB,classic target
questionnaire,0.75,0.8571428571428571,0.7999999999999999,7.0,MNB,classic target
residence proof,1.0,0.6666666666666666,0.8,9.0,MNB,classic target
resume,0.8,1.0,0.888888888888889,4.0,MNB,classic target
scientific publication,0.6666666666666666,0.8,0.7272727272727272,10.0,MNB,classic target
scientific report,0.3333333333333333,0.4,0.3636363636363636,5.0,MNB,classic target
specification,0.8,0.6666666666666666,0.7272727272727272,6.0,MNB,classic target
accuracy,0.7161016949152542,0.7161016949152542,0.7161016949152542,0.7161016949152542,MNB,classic target
macro avg,0.6889363160918889,0.6376570197044336,0.63348158124961,236.0,MNB,classic target
weighted avg,0.7367883785184515,0.7161016949152542,0.7003125061522881,236.0,MNB,classic target
advertisement,0.1379310344827586,1.0,0.2424242424242424,4.0,MNB,classic target ros
budget,0.1428571428571428,0.2,0.1666666666666666,5.0,MNB,classic target ros
email,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,MNB,classic target ros
file folder,0.0,0.0,0.0,0.0,MNB,classic target ros
form,0.8,0.8,0.8000000000000002,5.0,MNB,classic target ros
handwritten,1.0,0.25,0.4,8.0,MNB,classic target ros
id piece,0.8888888888888888,0.8275862068965517,0.8571428571428572,29.0,MNB,classic target ros
invoice,0.8,0.5,0.6153846153846154,16.0,MNB,classic target ros
letter,0.3636363636363636,0.4444444444444444,0.3999999999999999,9.0,MNB,classic target ros
memo,0.25,0.25,0.25,8.0,MNB,classic target ros
news article,0.5,0.8333333333333334,0.625,6.0,MNB,classic target ros
passport,0.8461538461538461,0.6111111111111112,0.7096774193548387,18.0,MNB,classic target ros
pay,0.9761904761904762,0.8541666666666666,0.9111111111111112,48.0,MNB,classic target ros
postcard,1.0,0.5714285714285714,0.7272727272727273,28.0,MNB,classic target ros
presentation,0.6666666666666666,0.4,0.5,5.0,MNB,classic target ros
questionnaire,0.6666666666666666,0.8571428571428571,0.75,7.0,MNB,classic target ros
residence proof,0.8571428571428571,0.6666666666666666,0.75,9.0,MNB,classic target ros
resume,1.0,1.0,1.0,4.0,MNB,classic target ros
scientific publication,0.6923076923076923,0.9,0.7826086956521738,10.0,MNB,classic target ros
scientific report,0.4,0.4,0.4000000000000001,5.0,MNB,classic target ros
specification,0.8,0.6666666666666666,0.7272727272727272,6.0,MNB,classic target ros
accuracy,0.673728813559322,0.673728813559322,0.673728813559322,0.673728813559322,MNB,classic target ros
macro avg,0.6407194429361918,0.6047244376677874,0.5848203680451727,236.0,MNB,classic target ros
weighted avg,0.7950923289321888,0.673728813559322,0.7060051422535675,236.0,MNB,classic target ros
budget,1.0,0.125,0.2222222222222222,8.0,MNB,classic target_min english
email,1.0,0.3333333333333333,0.5,3.0,MNB,classic target_min english
file folder,0.0,0.0,0.0,1.0,MNB,classic target_min english
id piece,0.8518518518518519,1.0,0.92,23.0,MNB,classic target_min english
invoice,0.6818181818181818,0.8333333333333334,0.7499999999999999,18.0,MNB,classic target_min english
other_types,0.6666666666666666,0.7567567567567568,0.7088607594936708,37.0,MNB,classic target_min english
passport,1.0,0.6153846153846154,0.761904761904762,13.0,MNB,classic target_min english
pay,0.7166666666666667,0.9555555555555556,0.8190476190476191,45.0,MNB,classic target_min english
postcard,0.7272727272727273,0.5333333333333333,0.6153846153846153,30.0,MNB,classic target_min english
questionnaire,1.0,0.8333333333333334,0.9090909090909092,6.0,MNB,classic target_min english
residence proof,1.0,0.4444444444444444,0.6153846153846153,9.0,MNB,classic target_min english
resume,0.8,1.0,0.888888888888889,4.0,MNB,classic target_min english
scientific_doc,0.5384615384615384,0.5833333333333334,0.5599999999999999,12.0,MNB,classic target_min english
specification,1.0,0.5,0.6666666666666666,2.0,MNB,classic target_min english
accuracy,0.7393364928909952,0.7393364928909952,0.7393364928909952,0.7393364928909952,MNB,classic target_min english
macro avg,0.7844812594812595,0.6081291456291457,0.6383893612917121,211.0,MNB,classic target_min english
weighted avg,0.7642734919986104,0.7393364928909952,0.7203363269402026,211.0,MNB,classic target_min english
budget,0.1428571428571428,0.5,0.2222222222222222,8.0,MNB,classic target_min english ros
email,0.5,0.3333333333333333,0.4,3.0,MNB,classic target_min english ros
file folder,0.0,0.0,0.0,1.0,MNB,classic target_min english ros
id piece,0.92,1.0,0.9583333333333334,23.0,MNB,classic target_min english ros
invoice,0.6666666666666666,0.7777777777777778,0.717948717948718,18.0,MNB,classic target_min english ros
other_types,0.7586206896551724,0.5945945945945946,0.6666666666666667,37.0,MNB,classic target_min english ros
passport,1.0,0.7692307692307693,0.8695652173913044,13.0,MNB,classic target_min english ros
pay,1.0,0.8666666666666667,0.9285714285714286,45.0,MNB,classic target_min english ros
postcard,0.75,0.5,0.6,30.0,MNB,classic target_min english ros
questionnaire,0.625,0.8333333333333334,0.7142857142857143,6.0,MNB,classic target_min english ros
residence proof,0.8333333333333334,0.5555555555555556,0.6666666666666667,9.0,MNB,classic target_min english ros
resume,0.8,1.0,0.888888888888889,4.0,MNB,classic target_min english ros
scientific_doc,0.5,0.6666666666666666,0.5714285714285715,12.0,MNB,classic target_min english ros
specification,1.0,1.0,1.0,2.0,MNB,classic target_min english ros
accuracy,0.7203791469194313,0.7203791469194313,0.7203791469194313,0.7203791469194313,MNB,classic target_min english ros
macro avg,0.6783198451794511,0.6712256212256211,0.6574698162431083,211.0,MNB,classic target_min english ros
weighted avg,0.7906247519435948,0.7203791469194313,0.7412211509213363,211.0,MNB,classic target_min english ros
budget,0.75,0.3,0.4285714285714285,10.0,MNB,classic target_min french
email,0.0,0.0,0.0,5.0,MNB,classic target_min french
id piece,0.8846153846153846,1.0,0.9387755102040816,23.0,MNB,classic target_min french
invoice,0.7777777777777778,0.875,0.823529411764706,16.0,MNB,classic target_min french
other_types,0.5263157894736842,0.5882352941176471,0.5555555555555555,34.0,MNB,classic target_min french
passport,0.8888888888888888,0.6153846153846154,0.7272727272727274,13.0,MNB,classic target_min french
pay,0.6119402985074627,1.0,0.7592592592592593,41.0,MNB,classic target_min french
postcard,0.9166666666666666,0.3793103448275862,0.5365853658536586,29.0,MNB,classic target_min french
questionnaire,0.75,0.5,0.6,6.0,MNB,classic target_min french
residence proof,1.0,0.8888888888888888,0.9411764705882352,9.0,MNB,classic target_min french
resume,0.6666666666666666,0.8,0.7272727272727272,5.0,MNB,classic target_min french
scientific_doc,0.5714285714285714,0.4705882352941176,0.5161290322580646,17.0,MNB,classic target_min french
specification,0.75,0.75,0.75,4.0,MNB,classic target_min french
accuracy,0.6886792452830188,0.6886792452830188,0.6886792452830188,0.6886792452830188,MNB,classic target_min french
macro avg,0.699561541848085,0.6282621060394504,0.6387790375846495,212.0,MNB,classic target_min french
weighted avg,0.7120820533397051,0.6886792452830188,0.6677792764693792,212.0,MNB,classic target_min french
budget,0.1388888888888889,0.5,0.2173913043478261,10.0,MNB,classic target_min french ros
email,0.2,0.2,0.2,5.0,MNB,classic target_min french ros
id piece,0.8846153846153846,1.0,0.9387755102040816,23.0,MNB,classic target_min french ros
invoice,0.8235294117647058,0.875,0.8484848484848485,16.0,MNB,classic target_min french ros
other_types,0.5833333333333334,0.4117647058823529,0.4827586206896552,34.0,MNB,classic target_min french ros
passport,0.8,0.6153846153846154,0.6956521739130435,13.0,MNB,classic target_min french ros
pay,0.9743589743589745,0.926829268292683,0.95,41.0,MNB,classic target_min french ros
postcard,1.0,0.3103448275862069,0.4736842105263158,29.0,MNB,classic target_min french ros
questionnaire,0.375,0.5,0.4285714285714285,6.0,MNB,classic target_min french ros
residence proof,1.0,0.8888888888888888,0.9411764705882352,9.0,MNB,classic target_min french ros
resume,0.6666666666666666,0.8,0.7272727272727272,5.0,MNB,classic target_min french ros
scientific_doc,0.631578947368421,0.7058823529411765,0.6666666666666667,17.0,MNB,classic target_min french ros
specification,0.6,0.75,0.6666666666666665,4.0,MNB,classic target_min french ros
accuracy,0.6698113207547169,0.6698113207547169,0.6698113207547169,0.6698113207547169,MNB,classic target_min french ros
macro avg,0.6675362774612595,0.652622666075071,0.6336231252254998,212.0,MNB,classic target_min french ros
weighted avg,0.7679893398298389,0.6698113207547169,0.6847358550311181,212.0,MNB,classic target_min french ros
budget,0.0344827586206896,0.2,0.0588235294117647,5.0,MNB,classic target_min ros
email,0.3333333333333333,0.6666666666666666,0.4444444444444444,6.0,MNB,classic target_min ros
file folder,0.0,0.0,0.0,0.0,MNB,classic target_min ros
id piece,0.8928571428571429,0.8620689655172413,0.8771929824561403,29.0,MNB,classic target_min ros
invoice,0.9,0.5625,0.6923076923076923,16.0,MNB,classic target_min ros
other_types,0.6470588235294118,0.5641025641025641,0.6027397260273972,39.0,MNB,classic target_min ros
passport,0.7857142857142857,0.6111111111111112,0.6875000000000001,18.0,MNB,classic target_min ros
pay,0.975609756097561,0.8333333333333334,0.8988764044943819,48.0,MNB,classic target_min ros
postcard,1.0,0.5714285714285714,0.7272727272727273,28.0,MNB,classic target_min ros
questionnaire,0.6666666666666666,0.8571428571428571,0.75,7.0,MNB,classic target_min ros
residence proof,0.875,0.7777777777777778,0.823529411764706,9.0,MNB,classic target_min ros
resume,1.0,1.0,1.0,4.0,MNB,classic target_min ros
scientific_doc,0.6086956521739131,0.6666666666666666,0.6363636363636365,21.0,MNB,classic target_min ros
specification,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0,MNB,classic target_min ros
accuracy,0.6949152542372882,0.6949152542372882,0.6949152542372882,0.6949152542372882,MNB,classic target_min ros
macro avg,0.6823394108804528,0.6432951319342946,0.6451702777054447,236.0,MNB,classic target_min ros
weighted avg,0.8093091773367228,0.6949152542372882,0.736835839177248,236.0,MNB,classic target_min ros
budget,0.3333333333333333,0.2,0.25,5.0,MNB,classic target_min
email,1.0,0.3333333333333333,0.5,6.0,MNB,classic target_min
id piece,0.8928571428571429,0.8620689655172413,0.8771929824561403,29.0,MNB,classic target_min
invoice,0.9,0.5625,0.6923076923076923,16.0,MNB,classic target_min
other_types,0.6153846153846154,0.8205128205128205,0.7032967032967034,39.0,MNB,classic target_min
passport,0.9090909090909092,0.5555555555555556,0.6896551724137931,18.0,MNB,classic target_min
pay,0.7164179104477612,1.0,0.8347826086956522,48.0,MNB,classic target_min
postcard,0.9375,0.5357142857142857,0.6818181818181818,28.0,MNB,classic target_min
questionnaire,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,MNB,classic target_min
residence proof,0.875,0.7777777777777778,0.823529411764706,9.0,MNB,classic target_min
resume,1.0,1.0,1.0,4.0,MNB,classic target_min
scientific_doc,0.5833333333333334,0.6666666666666666,0.6222222222222222,21.0,MNB,classic target_min
specification,1.0,0.6666666666666666,0.8,6.0,MNB,classic target_min
accuracy,0.75,0.75,0.75,0.75,MNB,classic target_min
macro avg,0.816927700122304,0.6798414560682464,0.7178421409321498,236.0,MNB,classic target_min
weighted avg,0.784263643536664,0.75,0.7417236855127978,236.0,MNB,classic target_min
advertisement,1.0,0.4,0.5714285714285715,5.0,SVC,classic target english
budget,0.75,0.375,0.5,8.0,SVC,classic target english
email,0.75,1.0,0.8571428571428571,3.0,SVC,classic target english
file folder,0.0,0.0,0.0,1.0,SVC,classic target english
form,0.5,0.2,0.2857142857142857,5.0,SVC,classic target english
handwritten,0.3333333333333333,0.2,0.25,5.0,SVC,classic target english
id piece,0.88,0.9565217391304348,0.9166666666666666,23.0,SVC,classic target english
invoice,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0,SVC,classic target english
letter,1.0,0.2,0.3333333333333333,10.0,SVC,classic target english
memo,0.3333333333333333,0.1666666666666666,0.2222222222222222,6.0,SVC,classic target english
news article,0.25,0.25,0.25,4.0,SVC,classic target english
passport,1.0,0.6923076923076923,0.8181818181818181,13.0,SVC,classic target english
pay,0.925,0.8222222222222222,0.8705882352941177,45.0,SVC,classic target english
postcard,0.417910447761194,0.9333333333333332,0.5773195876288659,30.0,SVC,classic target english
presentation,0.0,0.0,0.0,6.0,SVC,classic target english
questionnaire,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,SVC,classic target english
residence proof,1.0,0.3333333333333333,0.5,9.0,SVC,classic target english
resume,0.8,1.0,0.888888888888889,4.0,SVC,classic target english
scientific publication,0.6,0.75,0.6666666666666665,4.0,SVC,classic target english
scientific report,0.5,0.75,0.6,4.0,SVC,classic target english
specification,1.0,0.5,0.6666666666666666,2.0,SVC,classic target english
accuracy,0.6777251184834123,0.6777251184834123,0.6777251184834123,0.6777251184834123,SVC,classic target english
macro avg,0.6470760343938571,0.5252088089044611,0.5380299677925945,211.0,SVC,classic target english
weighted avg,0.7407646115671987,0.6777251184834123,0.6629084914442405,211.0,SVC,classic target english
advertisement,1.0,0.4,0.5714285714285715,5.0,SVC,classic target english ros
budget,0.75,0.375,0.5,8.0,SVC,classic target english ros
email,0.75,1.0,0.8571428571428571,3.0,SVC,classic target english ros
file folder,0.0,0.0,0.0,1.0,SVC,classic target english ros
form,0.5,0.2,0.2857142857142857,5.0,SVC,classic target english ros
